"","Var1","Var2","form"
"191","SoviR","Participe.Present","X-A~"
"192","dekl0R","Participe.Present","X-o.[0o]-zA~"
"193","suRdR","Participe.Present","X-dA~"
"194","ZeziR","Participe.Present","X-i.[ei]-zA~"
"196","advniR","Participe.Present","X-n.[3jn]-A~"
"197","3~k0~be","Participe.Present","X-A~"
"198","eSwaR","Participe.Present","X-e.[ewy]-A~"
"200","swaR","Participe.Present","X-3.[3jw]-j.[aej]-A~"
"201","bRYine","Participe.Present","X-A~"
"202","falwaR","Participe.Present","X-a.[ao]-lA~"
"203","REsuvniR","Participe.Present","X-n.[3jn]-A~"
"205","meswaR","Participe.Present","X-3.[3jw]-j.[aej]-A~"
"209","aute","Participe.Passe","X-e"
"210","Ete","Participe.Passe","X-E.[3E]-e"
"211","fwiR","Participe.Passe","X-"
"212","abatR","Participe.Passe","X-ty"
"213","A~bYe","Participe.Passe","X-Y.[yY]-e"
"214","Able","Participe.Passe","X-e"
"215","ablye","Participe.Passe","X-e"
"216","A~bReje","Participe.Passe","X-e.[3e]-e"
"217","abReZe","Participe.Passe","X-e.[3e]-e"
"218","abwaje","Participe.Passe","X-je"
"219","A~bwaR","Participe.Passe","X-y.[wy]-"
"220","A~bwe","Participe.Passe","X-w.[uw]-e"
"221","A~d0RmiR","Participe.Passe","X-mi"
"222","A~dYiR","Participe.Passe","X-"
"223","adZw3~dR","Participe.Passe","X-3.[3a]-~.[~N]-"
"224","A~fYiR","Participe.Passe","X-"
"225","afilje","Participe.Passe","X-j.[ij]-e"
"226","A~fjevRe","Participe.Passe","X-e.[3e]-e"
"227","A~fR3~dR","Participe.Passe","X-~.[~N]-"
"228","agRee","Participe.Passe","X-e"
"229","aiR","Participe.Passe","X-a.[3a]-i"
"230","akeRiR","Participe.Passe","X-i"
"231","ak6jiR","Participe.Passe","X-i"
"232","akRwatR.1","Participe.Passe","X-y.[wy]-"
"233","akuRiR","Participe.Passe","X-y"
"234","ale.1","Participe.Passe","X-a.[aiv]-le"
"235","apaR3tR","Participe.Passe","X-y.[3y]-"
"236","apA~dR","Participe.Passe","X-dy"
"237","apaRtEniR","Participe.Passe","X-E.[3Ej]-n.[~3n]-y"
"238","ap3RsEvwaR","Participe.Passe","X-y.[Ewy]-"
"239","apRA~dR","Participe.Passe","X-i"
"240","apR0pRije","Participe.Passe","X-je"
"241","asA~tiR","Participe.Passe","X-ti"
"242","asizEle","Participe.Passe","X-E.[3El]-l.[3l]-e"
"243","aswaR.1","Participe.Passe","X-i"
"244","atniR","Participe.Passe","X-n.[3jn]-y"
"245","A~tREm3tR","Participe.Passe","X-i.[3i]-"
"246","A~tREvwaR","Participe.Passe","X-y"
"247","A~tRuvRiR","Participe.Passe","X-3.[3R]-R"
"248","A~vwaje","Participe.Passe","X-w.[3w]-a.[aR]-je"
"249","apstR3R","Participe.Passe","X-"
"250","apsudR","Participe.Passe","X-u.[0u]-"
"251","aSve","Participe.Passe","X-v.[3v]-e"
"252","A~sYivR","Participe.Passe","X-vi"
"253","bujiR","Participe.Passe","X-ji"
"254","dediR","Participe.Passe","X-"
"255","defajiR","Participe.Passe","X-i"
"256","def3R","Participe.Passe","X-3"
"257","dekRiR","Participe.Passe","X-"
"258","dekudR","Participe.Passe","X-zy"
"259","denwajote","Participe.Passe","X-o.[0o]-e"
"260","depl3R","Participe.Passe","X-y.[3ay]-"
"261","depuRvwaR","Participe.Passe","X-y.[wy]-"
"262","des3RviR","Participe.Passe","X-vi"
"263","dev3tiR","Participe.Passe","X-ty"
"264","diR","Participe.Passe","X-"
"265","ekivalwar","Participe.Passe","X-a.[ao]-ly"
"266","3~klyR","Participe.Passe","X-"
"267","eliR","Participe.Passe","X-y.[iy]-"
"268","emuvwaR","Participe.Passe","X-y"
"269","emudR","Participe.Passe","X-ly"
"270","3~teR0~pR","Participe.Passe","X-py"
"271","3tR","Participe.Passe","ete"
"272","fajiR","Participe.Passe","X-a.[ao]-ji"
"273","fazeje","Participe.Passe","X-e.[3e]-e"
"274","futR","Participe.Passe","X-ty"
"275","k0~v3~kR","Participe.Passe","X-y"
"276","muRiR","Participe.Passe","X-0.[06u]-"
"277","n3tR.1","Participe.Passe","X-e.[3ae]-"
"278","p3tR","Participe.Passe","X-y.[3y]-"
"279","pRevalwaR","Participe.Passe","X-a.[ao]-ly"
"280","pRevwaR","Participe.Passe","X-y.[iwy]-"
"281","RavwaR","Participe.Passe","X-y"
"282","REvivR","Participe.Passe","X-e.[ei]-ky"
"283","RezudR","Participe.Passe","X-0.[0u]-ly"
"284","savwaR","Participe.Passe","X-y"
"285","sEvRe","Participe.Passe","X-E.[3E]-e"
"286","t3R","Participe.Passe","X-y.[3y]-"
"287","vulwaR","Participe.Passe","X-uly"
"288","puvwaR","Participe.Passe","X-y"
"289","pl6vwaR","Participe.Passe","X-y.[68y]-"
"290","deSwaR","Participe.Passe","X-y.[wy]-"
"291","isiR","Participe.Passe","X-y"
"292","SwaR","Participe.Passe","X-y.[wy]-"
"293","A~kl0R","Participe.Passe","X-o.[0o]-"
"294","RA~tR3R","Participe.Passe","X-"
"295","SoviR","Participe.Passe","X-i"
"296","dekl0R","Participe.Passe","X-o.[0o]-"
"297","suRdR","Participe.Passe","X-dy"
"299","fRiR","Participe.Passe","X-"
"300","advniR","Participe.Passe","X-n.[3jn]-y"
"301","3~k0~be","Participe.Passe","X-e"
"302","eSwaR","Participe.Passe","X-y.[ewy]-"
"303","feRiR","Participe.Passe","X-e.[ej]-R.[3R]-y"
"305","bRYine","Participe.Passe","X-e"
"306","falwaR","Participe.Passe","X-a.[ao]-ly"
"307","REsuvniR","Participe.Passe","X-n.[3jn]-y"
"310","k0~paRwaR","Participe.Passe","X-y.[wy]-"
"311","0ksiR","Participe.Passe","X-"
"313","aute","Indicatif.Present.je","X-"
