"","Var1","Var2","form"
"2500","abatR","Indicatif.Futursimple.nous","X-tR0~"
"2501","A~bYe","Indicatif.Futursimple.nous","X-y.[yY]-R0~"
"2502","Able","Indicatif.Futursimple.nous","X-ER0~"
"2503","ablye","Indicatif.Futursimple.nous","X-R0~"
"2504","A~bReje","Indicatif.Futursimple.nous","X-e.[3e]-ER0~"
"2505","abReZe","Indicatif.Futursimple.nous","X-3.[3e]-ER0~"
"2506","abwaje","Indicatif.Futursimple.nous","X-R0~"
"2507","A~bwaR","Indicatif.Futursimple.nous","X-w.[wy]-aR0~"
"2508","A~bwe","Indicatif.Futursimple.nous","X-u.[uw]-R0~"
"2509","A~d0RmiR","Indicatif.Futursimple.nous","X-miR0~"
"2510","A~dYiR","Indicatif.Futursimple.nous","X-R0~"
"2511","adZw3~dR","Indicatif.Futursimple.nous","X-3.[3a]-~.[~N]-dR0~"
"2512","A~fYiR","Indicatif.Futursimple.nous","X-R0~"
"2513","afilje","Indicatif.Futursimple.nous","X-i.[ij]-R0~"
"2514","A~fjevRe","Indicatif.Futursimple.nous","X-3.[3e]-ER0~"
"2515","A~fR3~dR","Indicatif.Futursimple.nous","X-~.[~N]-dR0~"
"2516","agRee","Indicatif.Futursimple.nous","X-R0~"
"2517","aiR","Indicatif.Futursimple.nous","X-a.[3a]-iR0~"
"2518","akeRiR","Indicatif.Futursimple.nous","X-3RR0~"
"2519","ak6jiR","Indicatif.Futursimple.nous","X-R0~"
"2520","akRwatR.1","Indicatif.Futursimple.nous","X-w.[wy]-atR0~"
"2521","akuRiR","Indicatif.Futursimple.nous","X-R0~"
"2522","ale.1","Indicatif.Futursimple.nous","X-i.[aiv]-R0~"
"2523","apaR3tR","Indicatif.Futursimple.nous","X-3.[3y]-tR0~"
"2524","apA~dR","Indicatif.Futursimple.nous","X-dR0~"
"2525","apaRtEniR","Indicatif.Futursimple.nous","X-j.[3Ej]-3.[~3n]-~dR0~"
"2526","ap3RsEvwaR","Indicatif.Futursimple.nous","X-E.[Ewy]-vR0~"
"2527","apRA~dR","Indicatif.Futursimple.nous","X-A~dR0~"
"2528","apR0pRije","Indicatif.Futursimple.nous","X-R0~"
"2529","asA~tiR","Indicatif.Futursimple.nous","X-tiR0~"
"2530","asizEle","Indicatif.Futursimple.nous","X-3.[3El]-l.[3l]-ER0~"
"2531","aswaR.1","Indicatif.Futursimple.nous","X-jeR0~"
"2532","atniR","Indicatif.Futursimple.nous","X-j.[3jn]-3~dR0~"
"2533","A~tREm3tR","Indicatif.Futursimple.nous","X-3.[3i]-tR0~"
"2534","A~tREvwaR","Indicatif.Futursimple.nous","X-3R0~"
"2535","A~tRuvRiR","Indicatif.Futursimple.nous","X-R.[3R]-iR0~"
"2536","A~vwaje","Indicatif.Futursimple.nous","X-3.[3w]-R.[aR]-0~"
"2537","apstR3R","Indicatif.Futursimple.nous","X-R0~"
"2538","apsudR","Indicatif.Futursimple.nous","X-u.[0u]-dR0~"
"2539","aSve","Indicatif.Futursimple.nous","X-3.[3v]-vER0~"
"2540","A~sYivR","Indicatif.Futursimple.nous","X-vR0~"
"2541","bujiR","Indicatif.Futursimple.nous","X-jiR0~"
"2542","dediR","Indicatif.Futursimple.nous","X-R0~"
"2543","defajiR","Indicatif.Futursimple.nous","X-iR0~"
"2544","def3R","Indicatif.Futursimple.nous","X-ER0~"
"2545","dekRiR","Indicatif.Futursimple.nous","X-R0~"
"2546","dekudR","Indicatif.Futursimple.nous","X-dR0~"
"2547","denwajote","Indicatif.Futursimple.nous","X-0.[0o]-ER0~"
"2548","depl3R","Indicatif.Futursimple.nous","X-3.[3ay]-R0~"
"2549","depuRvwaR","Indicatif.Futursimple.nous","X-w.[wy]-aR0~"
"2550","des3RviR","Indicatif.Futursimple.nous","X-viR0~"
"2551","dev3tiR","Indicatif.Futursimple.nous","X-tiR0~"
"2552","diR","Indicatif.Futursimple.nous","X-R0~"
"2553","ekivalwar","Indicatif.Futursimple.nous","X-o.[ao]-dR0~"
"2554","3~klyR","Indicatif.Futursimple.nous","X-R0~"
"2555","eliR","Indicatif.Futursimple.nous","X-i.[iy]-R0~"
"2556","emuvwaR","Indicatif.Futursimple.nous","X-uvR0~"
"2557","emudR","Indicatif.Futursimple.nous","X-dR0~"
"2558","3~teR0~pR","Indicatif.Futursimple.nous","X-pR0~"
"2559","3tR","Indicatif.Futursimple.nous","sER0~"
"2560","fajiR","Indicatif.Futursimple.nous","X-a.[ao]-jiR0~"
"2561","fazeje","Indicatif.Futursimple.nous","X-3.[3e]-ER0~"
"2562","futR","Indicatif.Futursimple.nous","X-tR0~"
"2563","k0~v3~kR","Indicatif.Futursimple.nous","X-R0~"
"2564","muRiR","Indicatif.Futursimple.nous","X-u.[06u]-R0~"
"2565","n3tR.1","Indicatif.Futursimple.nous","X-3.[3ae]-tR0~"
"2566","p3tR","Indicatif.Futursimple.nous","X-3.[3y]-tR0~"
"2567","pRevalwaR","Indicatif.Futursimple.nous","X-o.[ao]-dR0~"
"2568","pRevwaR","Indicatif.Futursimple.nous","X-w.[iwy]-aR0~"
"2569","RavwaR","Indicatif.Futursimple.nous","X-oR0~"
"2570","REvivR","Indicatif.Futursimple.nous","X-i.[ei]-vR0~"
"2571","RezudR","Indicatif.Futursimple.nous","X-u.[0u]-dR0~"
"2572","savwaR","Indicatif.Futursimple.nous","X-0R0~"
"2573","sEvRe","Indicatif.Futursimple.nous","X-3.[3E]-ER0~"
"2574","t3R","Indicatif.Futursimple.nous","X-3.[3y]-R0~"
"2575","vulwaR","Indicatif.Futursimple.nous","X-udR0~"
"2576","puvwaR","Indicatif.Futursimple.nous","X-uR0~"
"2577","pl6vwaR","Indicatif.Futursimple.nous","X-6.[68y]-vR0~"
"2578","deSwaR","Indicatif.Futursimple.nous","X-w.[wy]-aR0~"
"2579","isiR","Indicatif.Futursimple.nous","X-iR0~"
"2580","SwaR","Indicatif.Futursimple.nous","X-w.[wy]-aR0~"
"2581","A~kl0R","Indicatif.Futursimple.nous","X-0.[0o]-R0~"
"2582","RA~tR3R","Indicatif.Futursimple.nous","X-R0~"
"2583","SoviR","Indicatif.Futursimple.nous","X-iR0~"
"2584","dekl0R","Indicatif.Futursimple.nous","X-0.[0o]-R0~"
"2587","fRiR","Indicatif.Futursimple.nous","X-R0~"
"2601","aute","Indicatif.Futursimple.vous","X-ERe"
"2602","Ete","Indicatif.Futursimple.vous","X-3.[3E]-ERe"
"2603","fwiR","Indicatif.Futursimple.vous","X-Re"
"2604","abatR","Indicatif.Futursimple.vous","X-tRe"
"2605","A~bYe","Indicatif.Futursimple.vous","X-y.[yY]-Re"
"2606","Able","Indicatif.Futursimple.vous","X-ERe"
"2607","ablye","Indicatif.Futursimple.vous","X-Re"
"2608","A~bReje","Indicatif.Futursimple.vous","X-e.[3e]-ERe"
"2609","abReZe","Indicatif.Futursimple.vous","X-3.[3e]-ERe"
"2610","abwaje","Indicatif.Futursimple.vous","X-Re"
"2611","A~bwaR","Indicatif.Futursimple.vous","X-w.[wy]-aRe"
"2612","A~bwe","Indicatif.Futursimple.vous","X-u.[uw]-Re"
"2613","A~d0RmiR","Indicatif.Futursimple.vous","X-miRe"
"2614","A~dYiR","Indicatif.Futursimple.vous","X-Re"
"2615","adZw3~dR","Indicatif.Futursimple.vous","X-3.[3a]-~.[~N]-dRe"
"2616","A~fYiR","Indicatif.Futursimple.vous","X-Re"
"2617","afilje","Indicatif.Futursimple.vous","X-i.[ij]-Re"
"2618","A~fjevRe","Indicatif.Futursimple.vous","X-3.[3e]-ERe"
"2619","A~fR3~dR","Indicatif.Futursimple.vous","X-~.[~N]-dRe"
"2620","agRee","Indicatif.Futursimple.vous","X-Re"
"2621","aiR","Indicatif.Futursimple.vous","X-a.[3a]-iRe"
"2622","akeRiR","Indicatif.Futursimple.vous","X-3RRe"
"2623","ak6jiR","Indicatif.Futursimple.vous","X-Re"
"2624","akRwatR.1","Indicatif.Futursimple.vous","X-w.[wy]-atRe"
"2625","akuRiR","Indicatif.Futursimple.vous","X-Re"
"2626","ale.1","Indicatif.Futursimple.vous","X-i.[aiv]-Re"
"2627","apaR3tR","Indicatif.Futursimple.vous","X-3.[3y]-tRe"
"2628","apA~dR","Indicatif.Futursimple.vous","X-dRe"
"2629","apaRtEniR","Indicatif.Futursimple.vous","X-j.[3Ej]-3.[~3n]-~dRe"
"2630","ap3RsEvwaR","Indicatif.Futursimple.vous","X-E.[Ewy]-vRe"
"2631","apRA~dR","Indicatif.Futursimple.vous","X-A~dRe"
"2632","apR0pRije","Indicatif.Futursimple.vous","X-Re"
"2633","asA~tiR","Indicatif.Futursimple.vous","X-tiRe"
"2634","asizEle","Indicatif.Futursimple.vous","X-3.[3El]-l.[3l]-ERe"
"2635","aswaR.1","Indicatif.Futursimple.vous","X-jeRe"
"2636","atniR","Indicatif.Futursimple.vous","X-j.[3jn]-3~dRe"
"2637","A~tREm3tR","Indicatif.Futursimple.vous","X-3.[3i]-tRe"
"2638","A~tREvwaR","Indicatif.Futursimple.vous","X-3Re"
"2639","A~tRuvRiR","Indicatif.Futursimple.vous","X-R.[3R]-iRe"
"2640","A~vwaje","Indicatif.Futursimple.vous","X-3.[3w]-R.[aR]-e"
"2641","apstR3R","Indicatif.Futursimple.vous","X-Re"
"2642","apsudR","Indicatif.Futursimple.vous","X-u.[0u]-dRe"
"2643","aSve","Indicatif.Futursimple.vous","X-3.[3v]-vERe"
"2644","A~sYivR","Indicatif.Futursimple.vous","X-vRe"
"2645","bujiR","Indicatif.Futursimple.vous","X-jiRe"
"2646","dediR","Indicatif.Futursimple.vous","X-Re"
"2647","defajiR","Indicatif.Futursimple.vous","X-iRe"
"2648","def3R","Indicatif.Futursimple.vous","X-ERe"
"2649","dekRiR","Indicatif.Futursimple.vous","X-Re"
"2650","dekudR","Indicatif.Futursimple.vous","X-dRe"
"2651","denwajote","Indicatif.Futursimple.vous","X-0.[0o]-ERe"
"2652","depl3R","Indicatif.Futursimple.vous","X-3.[3ay]-Re"
"2653","depuRvwaR","Indicatif.Futursimple.vous","X-w.[wy]-aRe"
"2654","des3RviR","Indicatif.Futursimple.vous","X-viRe"
"2655","dev3tiR","Indicatif.Futursimple.vous","X-tiRe"
"2656","diR","Indicatif.Futursimple.vous","X-Re"
"2657","ekivalwar","Indicatif.Futursimple.vous","X-o.[ao]-dRe"
"2658","3~klyR","Indicatif.Futursimple.vous","X-Re"
"2659","eliR","Indicatif.Futursimple.vous","X-i.[iy]-Re"
"2660","emuvwaR","Indicatif.Futursimple.vous","X-uvRe"
"2661","emudR","Indicatif.Futursimple.vous","X-dRe"
"2662","3~teR0~pR","Indicatif.Futursimple.vous","X-pRe"
"2663","3tR","Indicatif.Futursimple.vous","sERe"
"2664","fajiR","Indicatif.Futursimple.vous","X-a.[ao]-jiRe"
"2665","fazeje","Indicatif.Futursimple.vous","X-3.[3e]-ERe"
"2666","futR","Indicatif.Futursimple.vous","X-tRe"
"2667","k0~v3~kR","Indicatif.Futursimple.vous","X-Re"
"2668","muRiR","Indicatif.Futursimple.vous","X-u.[06u]-Re"
"2669","n3tR.1","Indicatif.Futursimple.vous","X-3.[3ae]-tRe"
"2670","p3tR","Indicatif.Futursimple.vous","X-3.[3y]-tRe"
"2671","pRevalwaR","Indicatif.Futursimple.vous","X-o.[ao]-dRe"
"2672","pRevwaR","Indicatif.Futursimple.vous","X-w.[iwy]-aRe"
"2673","RavwaR","Indicatif.Futursimple.vous","X-oRe"
"2674","REvivR","Indicatif.Futursimple.vous","X-i.[ei]-vRe"
"2675","RezudR","Indicatif.Futursimple.vous","X-u.[0u]-dRe"
"2676","savwaR","Indicatif.Futursimple.vous","X-0Re"
"2677","sEvRe","Indicatif.Futursimple.vous","X-3.[3E]-ERe"
"2678","t3R","Indicatif.Futursimple.vous","X-3.[3y]-Re"
"2679","vulwaR","Indicatif.Futursimple.vous","X-udRe"
"2680","puvwaR","Indicatif.Futursimple.vous","X-uRe"
"2681","pl6vwaR","Indicatif.Futursimple.vous","X-6.[68y]-vRe"
"2682","deSwaR","Indicatif.Futursimple.vous","X-w.[wy]-aRe"
"2683","isiR","Indicatif.Futursimple.vous","X-iRe"
"2684","SwaR","Indicatif.Futursimple.vous","X-w.[wy]-aRe"
"2685","A~kl0R","Indicatif.Futursimple.vous","X-0.[0o]-Re"
"2686","RA~tR3R","Indicatif.Futursimple.vous","X-Re"
"2687","SoviR","Indicatif.Futursimple.vous","X-iRe"
"2688","dekl0R","Indicatif.Futursimple.vous","X-0.[0o]-Re"
"2689","suRdR","Indicatif.Futursimple.vous","X-dRe"
"2691","fRiR","Indicatif.Futursimple.vous","X-Re"
"2705","aute","Indicatif.Futursimple.ils.elles","X-ER0~"
"2706","Ete","Indicatif.Futursimple.ils.elles","X-3.[3E]-ER0~"
"2707","fwiR","Indicatif.Futursimple.ils.elles","X-R0~"
"2708","abatR","Indicatif.Futursimple.ils.elles","X-tR0~"
"2709","A~bYe","Indicatif.Futursimple.ils.elles","X-y.[yY]-R0~"
"2710","Able","Indicatif.Futursimple.ils.elles","X-ER0~"
"2711","ablye","Indicatif.Futursimple.ils.elles","X-R0~"
"2712","A~bReje","Indicatif.Futursimple.ils.elles","X-e.[3e]-ER0~"
"2713","abReZe","Indicatif.Futursimple.ils.elles","X-3.[3e]-ER0~"
"2714","abwaje","Indicatif.Futursimple.ils.elles","X-R0~"
"2715","A~bwaR","Indicatif.Futursimple.ils.elles","X-w.[wy]-aR0~"
"2716","A~bwe","Indicatif.Futursimple.ils.elles","X-u.[uw]-R0~"
"2717","A~d0RmiR","Indicatif.Futursimple.ils.elles","X-miR0~"
"2718","A~dYiR","Indicatif.Futursimple.ils.elles","X-R0~"
"2719","adZw3~dR","Indicatif.Futursimple.ils.elles","X-3.[3a]-~.[~N]-dR0~"
"2720","A~fYiR","Indicatif.Futursimple.ils.elles","X-R0~"
"2721","afilje","Indicatif.Futursimple.ils.elles","X-i.[ij]-R0~"
"2722","A~fjevRe","Indicatif.Futursimple.ils.elles","X-3.[3e]-ER0~"
"2723","A~fR3~dR","Indicatif.Futursimple.ils.elles","X-~.[~N]-dR0~"
"2724","agRee","Indicatif.Futursimple.ils.elles","X-R0~"
"2725","aiR","Indicatif.Futursimple.ils.elles","X-a.[3a]-iR0~"
"2726","akeRiR","Indicatif.Futursimple.ils.elles","X-3RR0~"
"2727","ak6jiR","Indicatif.Futursimple.ils.elles","X-R0~"
"2728","akRwatR.1","Indicatif.Futursimple.ils.elles","X-w.[wy]-atR0~"
"2729","akuRiR","Indicatif.Futursimple.ils.elles","X-R0~"
"2730","ale.1","Indicatif.Futursimple.ils.elles","X-i.[aiv]-R0~"
"2731","apaR3tR","Indicatif.Futursimple.ils.elles","X-3.[3y]-tR0~"
"2732","apA~dR","Indicatif.Futursimple.ils.elles","X-dR0~"
"2733","apaRtEniR","Indicatif.Futursimple.ils.elles","X-j.[3Ej]-3.[~3n]-~dR0~"
"2734","ap3RsEvwaR","Indicatif.Futursimple.ils.elles","X-E.[Ewy]-vR0~"
"2735","apRA~dR","Indicatif.Futursimple.ils.elles","X-A~dR0~"
"2736","apR0pRije","Indicatif.Futursimple.ils.elles","X-R0~"
"2737","asA~tiR","Indicatif.Futursimple.ils.elles","X-tiR0~"
"2738","asizEle","Indicatif.Futursimple.ils.elles","X-3.[3El]-l.[3l]-ER0~"
"2739","aswaR.1","Indicatif.Futursimple.ils.elles","X-jeR0~"
"2740","atniR","Indicatif.Futursimple.ils.elles","X-j.[3jn]-3~dR0~"
"2741","A~tREm3tR","Indicatif.Futursimple.ils.elles","X-3.[3i]-tR0~"
"2742","A~tREvwaR","Indicatif.Futursimple.ils.elles","X-3R0~"
"2743","A~tRuvRiR","Indicatif.Futursimple.ils.elles","X-R.[3R]-iR0~"
"2744","A~vwaje","Indicatif.Futursimple.ils.elles","X-3.[3w]-R.[aR]-0~"
"2745","apstR3R","Indicatif.Futursimple.ils.elles","X-R0~"
"2746","apsudR","Indicatif.Futursimple.ils.elles","X-u.[0u]-dR0~"
"2747","aSve","Indicatif.Futursimple.ils.elles","X-3.[3v]-vER0~"
"2748","A~sYivR","Indicatif.Futursimple.ils.elles","X-vR0~"
"2749","bujiR","Indicatif.Futursimple.ils.elles","X-jiR0~"
"2750","dediR","Indicatif.Futursimple.ils.elles","X-R0~"
"2751","defajiR","Indicatif.Futursimple.ils.elles","X-iR0~"
"2752","def3R","Indicatif.Futursimple.ils.elles","X-ER0~"
"2753","dekRiR","Indicatif.Futursimple.ils.elles","X-R0~"
"2754","dekudR","Indicatif.Futursimple.ils.elles","X-dR0~"
"2755","denwajote","Indicatif.Futursimple.ils.elles","X-0.[0o]-ER0~"
"2756","depl3R","Indicatif.Futursimple.ils.elles","X-3.[3ay]-R0~"
"2757","depuRvwaR","Indicatif.Futursimple.ils.elles","X-w.[wy]-aR0~"
"2758","des3RviR","Indicatif.Futursimple.ils.elles","X-viR0~"
"2759","dev3tiR","Indicatif.Futursimple.ils.elles","X-tiR0~"
"2760","diR","Indicatif.Futursimple.ils.elles","X-R0~"
"2761","ekivalwar","Indicatif.Futursimple.ils.elles","X-o.[ao]-dR0~"
"2762","3~klyR","Indicatif.Futursimple.ils.elles","X-R0~"
"2763","eliR","Indicatif.Futursimple.ils.elles","X-i.[iy]-R0~"
"2764","emuvwaR","Indicatif.Futursimple.ils.elles","X-uvR0~"
"2765","emudR","Indicatif.Futursimple.ils.elles","X-dR0~"
"2766","3~teR0~pR","Indicatif.Futursimple.ils.elles","X-pR0~"
"2767","3tR","Indicatif.Futursimple.ils.elles","sER0~"
"2768","fajiR","Indicatif.Futursimple.ils.elles","X-a.[ao]-jiR0~"
"2769","fazeje","Indicatif.Futursimple.ils.elles","X-3.[3e]-ER0~"
"2770","futR","Indicatif.Futursimple.ils.elles","X-tR0~"
"2771","k0~v3~kR","Indicatif.Futursimple.ils.elles","X-R0~"
"2772","muRiR","Indicatif.Futursimple.ils.elles","X-u.[06u]-R0~"
"2773","n3tR.1","Indicatif.Futursimple.ils.elles","X-3.[3ae]-tR0~"
"2774","p3tR","Indicatif.Futursimple.ils.elles","X-3.[3y]-tR0~"
"2775","pRevalwaR","Indicatif.Futursimple.ils.elles","X-o.[ao]-dR0~"
"2776","pRevwaR","Indicatif.Futursimple.ils.elles","X-w.[iwy]-aR0~"
"2777","RavwaR","Indicatif.Futursimple.ils.elles","X-oR0~"
"2778","REvivR","Indicatif.Futursimple.ils.elles","X-i.[ei]-vR0~"
"2779","RezudR","Indicatif.Futursimple.ils.elles","X-u.[0u]-dR0~"
"2780","savwaR","Indicatif.Futursimple.ils.elles","X-0R0~"
"2781","sEvRe","Indicatif.Futursimple.ils.elles","X-3.[3E]-ER0~"
"2782","t3R","Indicatif.Futursimple.ils.elles","X-3.[3y]-R0~"
"2783","vulwaR","Indicatif.Futursimple.ils.elles","X-udR0~"
"2784","puvwaR","Indicatif.Futursimple.ils.elles","X-uR0~"
"2785","pl6vwaR","Indicatif.Futursimple.ils.elles","X-6.[68y]-vR0~"
"2786","deSwaR","Indicatif.Futursimple.ils.elles","X-w.[wy]-aR0~"
"2787","isiR","Indicatif.Futursimple.ils.elles","X-iR0~"
"2788","SwaR","Indicatif.Futursimple.ils.elles","X-w.[wy]-aR0~"
"2789","A~kl0R","Indicatif.Futursimple.ils.elles","X-0.[0o]-R0~"
"2790","RA~tR3R","Indicatif.Futursimple.ils.elles","X-R0~"
"2791","SoviR","Indicatif.Futursimple.ils.elles","X-iR0~"
"2792","dekl0R","Indicatif.Futursimple.ils.elles","X-0.[0o]-R0~"
"2793","suRdR","Indicatif.Futursimple.ils.elles","X-dR0~"
"2795","fRiR","Indicatif.Futursimple.ils.elles","X-R0~"
"2796","advniR","Indicatif.Futursimple.ils.elles","X-j.[3jn]-3~dR0~"
"2797","3~k0~be","Indicatif.Futursimple.ils.elles","X-ER0~"
"2798","eSwaR","Indicatif.Futursimple.ils.elles","X-w.[ewy]-aR0~"
"2800","swaR","Indicatif.Futursimple.ils.elles","X-j.[3jw]-e.[aej]-R0~"
"2809","aute","Subjonctif.Present.je","X-"
"2810","Ete","Subjonctif.Present.je","X-3.[3E]-"
"2811","fwiR","Subjonctif.Present.je","X-s"
"2812","abatR","Subjonctif.Present.je","X-t"
"2813","A~bYe","Subjonctif.Present.je","X-y.[yY]-"
"2814","Able","Subjonctif.Present.je","X-"
"2815","ablye","Subjonctif.Present.je","X-"
"2816","A~bReje","Subjonctif.Present.je","X-3.[3e]-"
"2817","abReZe","Subjonctif.Present.je","X-3.[3e]-"
"2818","abwaje","Subjonctif.Present.je","X-"
"2819","A~bwaR","Subjonctif.Present.je","X-w.[wy]-av"
"2820","A~bwe","Subjonctif.Present.je","X-u.[uw]-"
"2821","A~d0RmiR","Subjonctif.Present.je","X-m"
"2822","A~dYiR","Subjonctif.Present.je","X-z"
"2823","adZw3~dR","Subjonctif.Present.je","X-a.[3a]-N.[~N]-"
"2824","A~fYiR","Subjonctif.Present.je","X-"
"2825","afilje","Subjonctif.Present.je","X-i.[ij]-"
"2826","A~fjevRe","Subjonctif.Present.je","X-3.[3e]-"
"2827","A~fR3~dR","Subjonctif.Present.je","X-N.[~N]-"
"2828","agRee","Subjonctif.Present.je","X-"
"2829","aiR","Subjonctif.Present.je","X-a.[3a]-is"
"2830","akeRiR","Subjonctif.Present.je","X-j3R"
"2831","ak6jiR","Subjonctif.Present.je","X-"
"2832","akRwatR.1","Subjonctif.Present.je","X-w.[wy]-as"
"2833","akuRiR","Subjonctif.Present.je","X-"
"2834","ale.1","Subjonctif.Present.je","X-a.[aiv]-j"
"2835","apaR3tR","Subjonctif.Present.je","X-3.[3y]-s"
"2836","apA~dR","Subjonctif.Present.je","X-d"
"2837","apaRtEniR","Subjonctif.Present.je","X-j.[3Ej]-3.[~3n]-n"
"2838","ap3RsEvwaR","Subjonctif.Present.je","X-w.[Ewy]-av"
"2839","apRA~dR","Subjonctif.Present.je","X-3n"
"2840","apR0pRije","Subjonctif.Present.je","X-"
"2841","asA~tiR","Subjonctif.Present.je","X-t"
"2842","asizEle","Subjonctif.Present.je","X-3.[3El]-l.[3l]-"
"2843","aswaR.1","Subjonctif.Present.je","X-3j"
"2844","atniR","Subjonctif.Present.je","X-j.[3jn]-3n"
"2845","A~tREm3tR","Subjonctif.Present.je","X-3.[3i]-t"
"2846","A~tREvwaR","Subjonctif.Present.je","X-wa"
"2847","A~tRuvRiR","Subjonctif.Present.je","X-R.[3R]-"
"2848","A~vwaje","Subjonctif.Present.je","X-w.[3w]-a.[aR]-"
"2849","apstR3R","Subjonctif.Present.je","X-"
"2850","apsudR","Subjonctif.Present.je","X-0.[0u]-lv"
"2851","aSve","Subjonctif.Present.je","X-3.[3v]-v"
"2852","A~sYivR","Subjonctif.Present.je","X-v"
"2853","bujiR","Subjonctif.Present.je","X-j"
"2854","dediR","Subjonctif.Present.je","X-z"
"2855","defajiR","Subjonctif.Present.je","X-"
"2856","def3R","Subjonctif.Present.je","X-as"
"2857","dekRiR","Subjonctif.Present.je","X-v"
"2858","dekudR","Subjonctif.Present.je","X-z"
"2859","denwajote","Subjonctif.Present.je","X-0.[0o]-"
"2860","depl3R","Subjonctif.Present.je","X-3.[3ay]-z"
"2861","depuRvwaR","Subjonctif.Present.je","X-w.[wy]-a"
"2862","des3RviR","Subjonctif.Present.je","X-v"
"2863","dev3tiR","Subjonctif.Present.je","X-t"
"2864","diR","Subjonctif.Present.je","X-z"
"2865","ekivalwar","Subjonctif.Present.je","X-a.[ao]-j"
"2866","3~klyR","Subjonctif.Present.je","X-"
"2867","eliR","Subjonctif.Present.je","X-i.[iy]-z"
"2868","emuvwaR","Subjonctif.Present.je","X-6v"
"2869","emudR","Subjonctif.Present.je","X-l"
"2870","3~teR0~pR","Subjonctif.Present.je","X-p"
"2871","3tR","Subjonctif.Present.je","swa"
"2872","fajiR","Subjonctif.Present.je","X-a.[ao]-j"
"2873","fazeje","Subjonctif.Present.je","X-3.[3e]-"
"2874","futR","Subjonctif.Present.je","X-t"
"2875","k0~v3~kR","Subjonctif.Present.je","X-"
"2876","muRiR","Subjonctif.Present.je","X-6.[06u]-"
"2877","n3tR.1","Subjonctif.Present.je","X-3.[3ae]-s"
"2878","p3tR","Subjonctif.Present.je","X-3.[3y]-s"
"2879","pRevalwaR","Subjonctif.Present.je","X-a.[ao]-l"
"2880","pRevwaR","Subjonctif.Present.je","X-w.[iwy]-a"
"2881","RavwaR","Subjonctif.Present.je","X-3"
"2882","REvivR","Subjonctif.Present.je","X-i.[ei]-v"
"2883","RezudR","Subjonctif.Present.je","X-0.[0u]-lv"
"2884","savwaR","Subjonctif.Present.je","X-aS"
"2885","sEvRe","Subjonctif.Present.je","X-3.[3E]-"
"2886","t3R","Subjonctif.Present.je","X-3.[3y]-z"
"2887","vulwaR","Subjonctif.Present.je","X-6j"
"2888","puvwaR","Subjonctif.Present.je","X-Yis"
"2889","pl6vwaR","Subjonctif.Present.je","X-6.[68y]-v"
"2890","deSwaR","Subjonctif.Present.je","X-w.[wy]-a"
"2892","SwaR","Subjonctif.Present.je","X-w.[wy]-a"
"2893","A~kl0R","Subjonctif.Present.je","X-o.[0o]-z"
"2894","RA~tR3R","Subjonctif.Present.je","X-"
"2896","dekl0R","Subjonctif.Present.je","X-o.[0o]-z"
"2903","feRiR","Subjonctif.Present.je","X-j.[ej]-3.[3R]-R"
"2913","aute","Subjonctif.Present.tu","X-"
"2914","Ete","Subjonctif.Present.tu","X-3.[3E]-"
"2915","fwiR","Subjonctif.Present.tu","X-s"
"2916","abatR","Subjonctif.Present.tu","X-t"
"2917","A~bYe","Subjonctif.Present.tu","X-y.[yY]-"
"2918","Able","Subjonctif.Present.tu","X-"
"2919","ablye","Subjonctif.Present.tu","X-"
"2920","A~bReje","Subjonctif.Present.tu","X-3.[3e]-"
"2921","abReZe","Subjonctif.Present.tu","X-3.[3e]-"
"2922","abwaje","Subjonctif.Present.tu","X-"
"2923","A~bwaR","Subjonctif.Present.tu","X-w.[wy]-av"
"2924","A~bwe","Subjonctif.Present.tu","X-u.[uw]-"
"2925","A~d0RmiR","Subjonctif.Present.tu","X-m"
"2926","A~dYiR","Subjonctif.Present.tu","X-z"
"2927","adZw3~dR","Subjonctif.Present.tu","X-a.[3a]-N.[~N]-"
"2928","A~fYiR","Subjonctif.Present.tu","X-"
"2929","afilje","Subjonctif.Present.tu","X-i.[ij]-"
"2930","A~fjevRe","Subjonctif.Present.tu","X-3.[3e]-"
"2931","A~fR3~dR","Subjonctif.Present.tu","X-N.[~N]-"
"2932","agRee","Subjonctif.Present.tu","X-"
"2933","aiR","Subjonctif.Present.tu","X-a.[3a]-is"
"2934","akeRiR","Subjonctif.Present.tu","X-j3R"
"2935","ak6jiR","Subjonctif.Present.tu","X-"
"2936","akRwatR.1","Subjonctif.Present.tu","X-w.[wy]-as"
"2937","akuRiR","Subjonctif.Present.tu","X-"
"2938","ale.1","Subjonctif.Present.tu","X-a.[aiv]-j"
"2939","apaR3tR","Subjonctif.Present.tu","X-3.[3y]-s"
"2940","apA~dR","Subjonctif.Present.tu","X-d"
"2941","apaRtEniR","Subjonctif.Present.tu","X-j.[3Ej]-3.[~3n]-n"
"2942","ap3RsEvwaR","Subjonctif.Present.tu","X-w.[Ewy]-av"
"2943","apRA~dR","Subjonctif.Present.tu","X-3n"
"2944","apR0pRije","Subjonctif.Present.tu","X-"
"2945","asA~tiR","Subjonctif.Present.tu","X-t"
"2946","asizEle","Subjonctif.Present.tu","X-3.[3El]-l.[3l]-"
"2947","aswaR.1","Subjonctif.Present.tu","X-3j"
"2948","atniR","Subjonctif.Present.tu","X-j.[3jn]-3n"
"2949","A~tREm3tR","Subjonctif.Present.tu","X-3.[3i]-t"
